fuente,nit,nit-razon social,Sector,ut,ventas
,800018181,800018181 - Serrano Lievano Y Cia S.A.S.,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,13206
,800018637,800018637 - Consultores Internacionales De Negocios Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,138
,800018771,800018771 - Constructora  Flormorado Sas,F4111 - Construcción de edificios residenciales,,9854
,800018801,800018801 - Procomunicacion Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,863
,800018856,800018856 - Aqualab Sas,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",,26325
,800018971,800018971 - Palmeras Barbascal Sas,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,,1945
,800019454,800019454 - Representaciones Mario Correa Arango Y Cia S En C,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,1147
,800019572,800019572 - Ingenieria Diseños Y Consultoria Tecnica Sas,F4112 - Construcción de edificios no residenciales,,14678
,800019615,800019615 - Symrise Ltda,C2029 - Fabricación de otros productos químicos n.c.p.,,258082
,800019654,800019654 - Esgamo Ingnieros Constructores S.A.S,F4290 - Construcción de otras obras de ingeniería civil,,497
,800019961,800019961 - Consorcio Industrial Internacional S.A.,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,344
,800019962,800019962 - Creta S.A,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,809
,800019973,800019973 - Samgut Ltda,M6910 - Actividades jurídicas,,34
,800020280,800020280 - Inversiones La Cartuja Villegas Sociedad Por Acciones Simplificada,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,396
,800020419,800020419 - Inverglo S.A.,L6820 - Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,,738
,800020719,800020719 - Proservis Empresa De Servicios Temporales Sas,N7820 - Actividades de empresas de servicios temporales,,125200
,800020817,800020817 - Cantillana Sas,"G4799 - Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados",,7026
,800021035,800021035 - Lavarse Y Cia S En C,A0124 - Cultivo de caña de azúcar,,719
,800021069,800021069 - Tacanto Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,642
,800021137,800021137 - Agrícola Sara Palma S.A.S.,A0122 - Cultivo de plátano y banano,,162253
,800021210,800021210 - Renoaliados Ltda,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",,5469
,800021417,800021417 - Alfredo Tascon Jaramillo Y Cia Sas,A0124 - Cultivo de caña de azúcar,,340
,800021499,800021499 - Inversiones Pan De Azucar Sas,K6613 - Otras actividades relacionadas con el mercado de valores,,2213
,800021565,800021565 - Homsala Sas,K6613 - Otras actividades relacionadas con el mercado de valores,,638
,800021596,800021596 - Quantum Sas,A0124 - Cultivo de caña de azúcar,,12669
,800021622,800021622 - Detesa Ltda Y Cia Sca,L6820 - Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,,1387
,800021657,800021657 - Auto Servicio Jam S.A.S.,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,1189
,800022076,800022076 - Corporacion Educativa Indoamericana Sas,P8551 - Formación para el trabajo,,20968
,800022398,800022398 - Flores De Tenjo Sas Ci,A0125 - Cultivo de flor de corte,,6599
,800022450,800022450 - Central De Hierros Ltda,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",,135727
,800022737,800022737 - Racional De Insumos Sas,"C1392 - Confección de artículos con materiales textiles, excepto prendas de vestir",,9188
,800022797,800022797 - Puccini Theran Limitada,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,,903
,800022862,800022862 - Frutas De Exportacio Sas Frutex Sas,G4631 - Comercio al por mayor de productos alimenticios,,60562
,800022868,800022868 - Asopespa Ltda,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,45
,800022961,800022961 - Rm Security Products Ltda,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,,477
,800023002,800023002 - Distribuciones Y Representaciones Electricas Disrel S.A.S.,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",,12838
,800023162,800023162 - Conix Sas,"N7730 - Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.",,86599
,800023421,800023421 - Corema Sas,C2221 - Fabricación de formas básicas de plástico,,13682
,800023432,800023432 - Hugo A. Wilches Y Cia Ltda,G4653 - Comercio al por mayor de maquinaria y equipo agropecuarios,,5617
,800023434,800023434 - Inversiones Prixcol Sas,K6619 - Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,,466
,800023533,800023533 - Rumatex De Colombia Sas,C2219 - Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,,5854
,800023543,800023543 - Aceitar S.A.S,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",,16195
,800023551,800023551 - Ci Fortia Minerals S.A.S,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",,242532
,800023807,800023807 - Glg Sa,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,6562
,800024224,800024224 - Almacen Ciclo Martinez S.A.S.,"G4762 - Comercio al por menor de artículos deportivos, en establecimientos especializados",,1128
,800024238,800024238 - Pumper Sas,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,,2861
,800024261,800024261 - Merinve S.A.S,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,972
,800024265,800024265 - Editorial Santillana Sas,J5811 - Edición de libros,,57371
,800024315,800024315 - Palasmotos S.A.S.,"G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios",,2035
,800024465,800024465 - Jorge Herrera E Hijos S.C.S.,A0141 - Cría de ganado bovino y bufalino,,1469
,800024486,800024486 - Agropecuaria La Ventura Sas,A0150 - Explotación mixta (agrícola y pecuaria),,3352
,800024524,800024524 - Sypelc Sas Suministros Y Proyectos Electricos Sas,F4321 - Instalaciones eléctricas,,24332
,800024557,800024557 - Industrias Dt Sas,"C1410 - Confección de prendas de vestir, excepto prendas de piel",,8865
,800024645,800024645 - Rodriguez Puig Sas Ingenieros Arquitectos Asociados,F4390 - Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil,,980
,800024861,800024861 - Geocosta Ltda,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",,36492
,800024938,800024938 - Rm Sistemas Sas,"G4741 - Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",,10427
,800025229,800025229 - Construcciones Y Diseños De Ingenieria Ltda,M7010 - Actividades de administración empresarial,,129
,800025259,800025259 - Inversiones Jose L Nemocon Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,187
,800025435,800025435 - Inversiones Schultze Beck Ltda,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,830
,800025696,800025696 - Marroquinera Riviera Sas,G4642 - Comercio al por mayor de prendas de vestir,,7675
,800025698,800025698 - Tolentino S.A.S,C3110 - Fabricación de muebles,,4893
,800025833,800025833 - Ferreteria Tuvapor Sas,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",,13108
,800026030,800026030 - Alfaquimicos S.A.S,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",,33656
,800026042,800026042 - Distribuidora Y Promotora General S.A.S,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",,17203
,800026208,800026208 - Distribuciones Francisco De Paula Gomez E Hijos Y Cia Ltda,G4631 - Comercio al por mayor de productos alimenticios,,9971
,800026379,800026379 - Electricas Jimenez Y Mejia Sas,F4321 - Instalaciones eléctricas,,16853
,800026452,800026452 - Didacticos Pinocho Sa,"C3240 - Fabricación de juegos, juguetes y rompecabezas",,1957
,800026483,800026483 - Inversiones Fasulac Ltda,C1040 - Elaboración de productos lácteos,,23602
,800026509,800026509 - Marmoles Y Servicios S.A.S,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",,11191
,800026828,800026828 - Escuela De Diseño De Modas Y Patronaje Industrial Arturo Tejada Cano Sas,P8551 - Formación para el trabajo,,2174
,800026833,800026833 - Jotavel Sas,"C1630 - Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción",,3379
,800026893,800026893 - Alfredo Lopez Y Cia Sas Bic,"M6920 - Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",,3782
