fuente,nit,nit-razon social,Sector,ut,ventas
prospectos,800105706,800105706 - Upsistemas Sas,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,400.0,112239
prospectos,800253534,800253534 - Soinco,C2229 - Fabricación de artículos de plástico n.c.p.,400.0,23413
prospectos,805028991,805028991 - Surtifamiliar Sa,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",400.0,234033
prospectos,811012106,811012106 - Magnum Logistics S.A.S,H5229 - Otras actividades complementarias al transporte,400.0,55517
Clientes,811018771,811018771 - Marketing Personal S.A.,"C1410 - Confección de prendas de vestir, excepto prendas de piel",400.0,462132
prospectos,811022715,811022715 - Procesadora Nacional De Cereales Sa,C1051 - Elaboración de productos de molinería,400.0,27905
prospectos,811030654,811030654 - Aya Corp Sas,"C1410 - Confección de prendas de vestir, excepto prendas de piel",400.0,47282
prospectos,830044266,830044266 - Divemotor Colombia Sa,G4511 - Comercio de vehículos automotores nuevos,400.0,253489
prospectos,830055643,830055643 - Cinemark Colombia S A S,I5619 - Otros tipos de expendio de comidas preparadas n.c.p.,400.0,179946
prospectos,830058677,830058677 - Ifx Networks Colombia Sas,J6209 - Otras actividades de tecnologías de información y actividades de servicios informáticos,400.0,135220
prospectos,860024141,860024141 - Quibi Sa En Reestructuracion,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",400.0,27856
prospectos,860509514,860509514 - Autogermana S.A.S,G4511 - Comercio de vehículos automotores nuevos,400.0,653762
prospectos,860523376,860523376 - Sociedad Educacional Andina Sa,P8530 - Establecimientos que combinan diferentes niveles de educación,400.0,24036
prospectos,890300794,890300794 - Plasticos Rimax Sas,C2229 - Fabricación de artículos de plástico n.c.p.,400.0,243273
Clientes,890926803,890926803 - Estudio De Moda Sas,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,400.0,191905
prospectos,900134430,900134430 - Nokia Solutions And Networks Colombia Ltda,J6190 - Otras actividades de telecomunicaciones,400.0,621516
prospectos,900237877,900237877 - Ci Cargill De Colombia Ltda,G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,400.0,697559
prospectos,900268747,900268747 - Parex Resources (Colombia) Ag Sucursal,B0610 - Extracción de petróleo crudo,400.0,1377101
Clientes,900285758,900285758 - C.I Nutreo S.A.S,C1089 - Elaboración de otros productos alimenticios n.c.p.,400.0,38877
prospectos,900372462,900372462 - Levapan Colombia S.A.S.,C1089 - Elaboración de otros productos alimenticios n.c.p.,400.0,61786
prospectos,900585469,900585469 - Nectim Colombia Sas,J6110 - Actividades de telecomunicaciones alámbricas,400.0,26536
Clientes,900592369,900592369 - Quironprevencion Colombia Sas,"M7490 - Otras actividades profesionales, científicas y técnicas n.c.p.",400.0,49060
prospectos,900871479,900871479 - Avista Colombia S.A.S. Bic,K6619 - Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,400.0,86987
prospectos,901581627,901581627 - Concesion Runt 2.0 Sas,J6399 - Otras actividades de servicios de información n.c.p.,400.0,131043
prospectos,901655409,901655409 - Cosmo Education Sas,P8512 - Educación preescolar,400.0,29888
Clientes,800125639,800125639 - Kenworth De La Montaña Sas,G4511 - Comercio de vehículos automotores nuevos,394.0,566093
prospectos,830056578,830056578 - Cobrnado Sas,N8291 - Actividades de agencias de cobranza y oficinas de calificación crediticia,390.0,40882
prospectos,901359837,901359837 - Tul Sas,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",384.0,102807
prospectos,805009691,805009691 - Jgb Sa,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",380.0,198417
Clientes,900041914,900041914 - Avon Colombia Sas,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",380.0,481844
Clientes,860013704,860013704 - Gases Industriales De Colombia S.A Cryogas S.A.,C2011 - Fabricación de sustancias y productos químicos básicos,370.0,171094
