PROSPECTOS.Fuente,NIT,Nit-Razon Social,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),UT,02.Ingreso Actividades Ordinarias,02.Promedio de Ingreso Actividades Ordinarias,05. Utilidad Bruta,01. Deuda,01.Patrimonio
prospectos,860015118,860015118 - Continautos Sas,G4511 - Comercio de vehículos automotores nuevos,500,$1449550,$362387,$192794,$216514,$692124
prospectos,860020308,860020308 - Cometibles Ricos Sa,C1089 - Elaboración de otros productos alimenticios n.c.p.,500,$1030453,$257613,$334743,$70270,$347308
prospectos,860069804,860069804 - Carbones Del Cerrejon Limited,B0510 - Extracción de hulla (carbón de piedra),500,$38173441,$7634688,$17383138,$1249643,$17329770
prospectos,860500480,860500480 - Almacenes Corona Sas,"G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",500,$1190446,$297611,$449881,$64902,$136333
Clientes,890105652,890105652 - Royal Films Sas,I5612 - Expendio por autoservicio de comidas preparadas,500,$548919,$137230,$369266,$332613,$544514
prospectos,890312779,890312779 - S&A Servicios Y Asesorias  Sas  Bic,N7820 - Actividades de empresas de servicios temporales,500,$537362,$134341,$35649,$16049,$68049
prospectos,890900115,890900115 - A Laumayer Y Compañia Exportadores De Cafe S.A.S.,G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,500,$2096933,$419387,$154125,$589960,$138670
prospectos,890901475,890901475 - Distribuidora Farmaceutica Roma Sa,"G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios",500,$826584,$206646,$74812,$4833,$56421
prospectos,890901756,890901756 - Hacienda Velaba S.A.S,A0122 - Cultivo de plátano y banano,500,$189796,$37959,$41326,$53190,$192107
prospectos,900166687,900166687 - Continental Gold Limited Sucursal Colombia,B0722 - Extracción de oro y otros metales preciosos,500,$8677007,$1735401,$4551510,$2043968,$10296871
prospectos,900388839,900388839 - Hada International S.A.S,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",500,$2099718,$419944,$578281,$685760,$322544
prospectos,900402212,900402212 - Zonamerica Usuario Operador De Zona Franca Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,500,$52473,$10495,$4621,$223925,$215713
