PROSPECTOS.Fuente,NIT,Nit-Razon Social,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),UT,02.Ingreso Actividades Ordinarias,02.Promedio de Ingreso Actividades Ordinarias,05. Utilidad Bruta,01. Deuda,01.Patrimonio
Clientes,800153963,800153963 - 800153963,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",100,$142625,$35656,$33338,$5237,$23753
prospectos,800154428,800154428 - Industrias Ectricol Sas,C2712 - Fabricación de aparatos de distribución y control de la energía eléctrica,100,$227130,$56782,$52769,$16322,$97801
prospectos,800158432,800158432 - Productos 3A Sas,G4631 - Comercio al por mayor de productos alimenticios,100,$160266,$53422,$30392,$39604,$51848
prospectos,800200304,800200304 - Pinturas Super Ltda,"C2022 - Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",100,$221543,$55386,$44533,$819,$56721
prospectos,804009440,804009440 - La Muela Sas,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",100,$347489,$69498,$105429,$24484,$141562
prospectos,804012721,804012721 - Full House Supplies Sa,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,100,$8113,$2704,$1280,$11220,$29069
prospectos,804015014,804015014 - Constructora Consuegra Santos Sas,F4111 - Construcción de edificios residenciales,100,$68115,$17029,$8164,$36215,$43319
prospectos,811012461,811012461 - Procesos 2000 Sas En Reorganizacion,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",100,$46349,$15450,$12553,$29567,$6052
prospectos,830007240,830007240 - Alpla Colombia Sas,C2229 - Fabricación de artículos de plástico n.c.p.,100,$598512,$149628,$192107,$503000,$205905
prospectos,830037278,830037278 - Nueva Era Soluciones Sas,"G4741 - Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",100,$482611,$120653,$150084,$77428,$162930
prospectos,830051740,830051740 - Protex Sas,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",100,$627980,$125596,$150913,$51218,$326261
prospectos,830058801,830058801 - Harmex S.A.,G4669 - Comercio al por mayor de otros productos n.c.p.,100,$170433,$34087,$29247,$54686,$90586
prospectos,830059754,830059754 - Nacional De Transformadores Sas,"C2711 - Fabricación de motores, generadores y transformadores eléctricos",100,$94896,$47448,$40665,$16440,$30075
Clientes,830072740,830072740 - Sulicor Sas,G4632 - Comercio al por mayor de bebidas y tabaco,100,$495308,$123827,$272833,$183444,$272768
prospectos,830107903,830107903 - Fagron Colombia Sas,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",100,$59723,$14931,$40791,$3920,$27897
prospectos,830128610,830128610 - E-Motion Global S.A.S,M7310 - Publicidad,100,$16538,$16538,$5842,$9583,$8622
prospectos,832004332,832004332 - Minas Y Minerales Sa,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",100,,,$0,$4074,$19434
